key,name_ru,state,source_kind,confidence_tier,confidence_score,review_status,assumed_zero_count,issues,source_id,source_dataset,source_version,source_url
table_salt_other,Соль поваренная (хлорид натрия),raw,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,25,REVIEW_REQUIRED,LOGIC_PROXY:table_salt_other,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/table_salt_other
tomato_paste_other,Томатная паста,prepared,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,3,REVIEW_REQUIRED,LOGIC_PROXY:tomato_paste_other,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/tomato_paste_other
tuna_canned_water,"Тунец консервированный в воде, без жидкости",canned,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,5,REVIEW_REQUIRED,USDA_SR_LEGACY_NDB:15121,USDA_FOODDATA_CENTRAL_SR_LEGACY_2018,"v5.3.68 product DB QA pass, 2026-07-08",https://fdc.nal.usda.gov/food-search/
tuna_canned_water_spp,"Тунец консервированный в воде, без жидкости",canned,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,5,REVIEW_REQUIRED,USDA_SR_LEGACY_NDB:15121,USDA_FOODDATA_CENTRAL_SR_LEGACY_2018,"v5.3.68 product DB QA pass, 2026-07-08",https://fdc.nal.usda.gov/food-search/
fig_dried,Инжир сушёный,dried,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,4,REVIEW_REQUIRED,CANONICAL:FIG_DRIED,GENERIC_DRIED_FIG_FOOD_COMPOSITION_PROFILE,v5.3.123 canonical profile,
ground_lamb_cooked,"Фарш бараний, приготовленный",cooked,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,6,REVIEW_REQUIRED,CANONICAL:GROUND_LAMB_COOKED,GENERIC_COOKED_GROUND_LAMB_PROFILE,v5.3.123 canonical profile,
ground_pork_raw,"Фарш свиной, сырой",raw,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,7,REVIEW_REQUIRED,CANONICAL:GROUND_PORK_RAW,GENERIC_RAW_GROUND_PORK_20_PERCENT_FAT_PROFILE,v5.3.123 canonical profile,
lamb_ribs_roasted,"Бараньи рёбра, запечённые",roasted,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,6,REVIEW_REQUIRED,CANONICAL:LAMB_RIBS_ROASTED,GENERIC_ROASTED_LAMB_RIB_EDIBLE_PORTION_PROFILE,v5.3.123 canonical profile,
pork_belly_raw,"Свиная грудинка, сырая",raw,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,6,REVIEW_REQUIRED,CANONICAL:PORK_BELLY_RAW,GENERIC_RAW_PORK_BELLY_PROFILE,v5.3.123 canonical profile,
pork_fat_salted_salo,Сало солёное,salted_cured,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,8,REVIEW_REQUIRED,CANONICAL:PORK_FAT_SALTED_SALO,REPRESENTATIVE_SALTED_SALO_PROFILE,v5.3.123 canonical profile,
pork_lard_rendered,Смалец свиной,rendered_fat,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,26,REVIEW_REQUIRED,CANONICAL:PORK_LARD_RENDERED,GENERIC_RENDERED_PORK_LARD_PROFILE,v5.3.123 canonical profile,
pork_leg_raw,"Свиной окорок, сырой",raw,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,8,REVIEW_REQUIRED,CANONICAL:PORK_HAM_RAW,GENERIC_RAW_PORK_HAM_PROFILE,v5.3.123 canonical profile,
pork_neck_raw,"Свиная шея, сырая",raw,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,7,REVIEW_REQUIRED,CANONICAL:PORK_NECK_RAW,GENERIC_RAW_PORK_NECK_PROFILE,v5.3.123 canonical profile,
pork_ribs_roasted,"Свиные рёбра, запечённые",roasted,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,7,REVIEW_REQUIRED,CANONICAL:PORK_RIBS_ROASTED,GENERIC_ROASTED_PORK_RIB_EDIBLE_PORTION_PROFILE,v5.3.123 canonical profile,
pork_shoulder_raw,"Свиная лопатка, сырая",raw,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,7,REVIEW_REQUIRED,CANONICAL:PORK_SHOULDER_RAW,GENERIC_RAW_PORK_SHOULDER_PROFILE,v5.3.123 canonical profile,
pork_tongue_boiled,"Язык свиной, отварной",boiled,DERIVED_MODEL,LOW,0.54,REVIEW_REQUIRED,7,REVIEW_REQUIRED,CANONICAL:PORK_TONGUE_BOILED,GENERIC_BOILED_PORK_TONGUE_PROFILE,v5.3.123 canonical profile,
almond_drink_sweetened,Напиток миндальный сладкий,liquid_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,1,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:ALMOND_DRINK_SWEETENED,REPRESENTATIVE_SWEETENED_ALMOND_DRINK_LABELS,v5.3.121 generic canonical profile,
almond_drink_unsweetened_fortified,"Напиток миндальный без сахара, обогащённый",liquid_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:FORTIFIED_ALMOND_DRINK_UNSWEETENED,REPRESENTATIVE_FORTIFIED_ALMOND_DRINK_LABELS,v5.3.121 generic canonical profile,
beet_pickled_drained,"Свёкла маринованная, без заливки",pickled_drained,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_PROXY:BEET_PICKLED_DRAINED_RU,REPRESENTATIVE_RETAIL_LABEL_PLUS_BOILED_BEET_PROFILE,v5.3.118 generic retail proxy,
bell_pepper_pickled_drained,"Перец сладкий маринованный, без заливки",pickled_drained,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_PROXY:BELL_PEPPER_PICKLED_DRAINED_RU,REPRESENTATIVE_RUSSIAN_RETAIL_LABEL_PLUS_BELL_PEPPER_PROFILE,v5.3.118 generic retail proxy,
corn_chips_nachos,Чипсы кукурузные / начос,ready_snack,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,3,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:CORN_CHIPS_NACHOS,REPRESENTATIVE_RUSSIAN_SALTY_SNACK_LABELS,v5.3.121 generic canonical profile,
cucumber_lightly_salted_drained,"Огурцы малосольные, без рассола",lightly_salted,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,3,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_PROXY:CUCUMBER_LIGHTLY_SALTED_DRAINED_RU,REPRESENTATIVE_RUSSIAN_RETAIL_LABEL_PLUS_CUCUMBER_PROFILE,v5.3.118 generic retail proxy,
cucumber_sweet_pickled_drained,"Огурцы маринованные сладкие, без рассола",sweet_pickled_drained,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,3,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_PROXY:CUCUMBER_SWEET_PICKLED_DRAINED_RU,REPRESENTATIVE_RETAIL_LABEL_PLUS_USDA_PICKLE_ANALOGUE,v5.3.118 retail-label macro proxy,
dijon_mustard,Горчица дижонская,condiment_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,3,LABEL_WITHOUT_STABLE_REFERENCE,FOOD_COMPOSITION_PROFILE:DIJON_MUSTARD,REPRESENTATIVE_DIJON_MUSTARD_LABELS,v5.3.121 generic canonical profile,
garlic_pickled_drained,"Чеснок маринованный, без заливки",pickled_drained,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,3,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_PROXY:GARLIC_PICKLED_DRAINED_RU,REPRESENTATIVE_RETAIL_MACROS_PLUS_GARLIC_MICRONUTRIENT_PROXY,v5.3.118 generic retail proxy,
green_peas_canned_drained,"Горошек зелёный консервированный, без заливки",canned_drained,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_PROXY:GREEN_PEAS_CANNED_DRAINED_RU,REPRESENTATIVE_RUSSIAN_RETAIL_LABEL_PLUS_USDA_GREEN_PEAS_PROFILE,v5.3.118 generic retail proxy,
ketchup_no_added_sugar,Кетчуп без добавленного сахара,sauce_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,3,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:KETCHUP_NO_ADDED_SUGAR,REPRESENTATIVE_NO_ADDED_SUGAR_KETCHUP_LABELS_PLUS_TOMATO_CONCENTRATE_MODEL,v5.3.121 generic canonical profile,
mackerel_canned_natural,"Скумбрия натуральная консервированная, без жидкости",canned,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,4,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_PROXY:MACKEREL_CANNED_NATURAL_RU,REPRESENTATIVE_RUSSIAN_RETAIL_LABEL_PLUS_FNDDS_MACKEREL_PROFILE,v5.3.118 retail-label macro proxy,
mayonnaise_30pct,Майонез 30% жирности,emulsion_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,5,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:MAYONNAISE_30PCT,REPRESENTATIVE_RUSSIAN_MAYONNAISE_LABELS,v5.3.121 generic canonical profile,
mayonnaise_50pct,Майонез 50% жирности,emulsion_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,3,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:MAYONNAISE_50PCT,REPRESENTATIVE_RUSSIAN_MAYONNAISE_LABELS,v5.3.121 generic canonical profile,
mayonnaise_67pct,Майонез 67% жирности,emulsion_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,3,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:MAYONNAISE_67PCT,REPRESENTATIVE_RUSSIAN_MAYONNAISE_LABELS,v5.3.121 generic canonical profile,
mayonnaise_vegan,Майонез постный / веганский,emulsion_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,3,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:MAYONNAISE_VEGAN,REPRESENTATIVE_RUSSIAN_MAYONNAISE_LABELS,v5.3.121 generic canonical profile,
oat_drink_sweetened,Напиток овсяный сладкий,liquid_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,1,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:OAT_DRINK_SWEETENED,REPRESENTATIVE_RUSSIAN_AND_EUROPEAN_OAT_DRINK_LABELS,generic retail profile 2026,
oat_drink_unsweetened_fortified,"Напиток овсяный без сахара, обогащённый",liquid_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:FORTIFIED_OAT_DRINK_UNSWEETENED,REPRESENTATIVE_EUROPEAN_AND_RUSSIAN_FORTIFIED_OAT_DRINK_LABELS,generic retail profile 2026,
pollock_liver_canned,"Печень минтая консервированная, без свободного жира",canned,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,5,LABEL_WITHOUT_STABLE_REFERENCE,SPECIES_PROXY:POLLOCK_LIVER_FROM_COD_LIVER_PROFILE,FRIDA_COD_LIVER_ANALOGUE_PLUS_REPRESENTATIVE_POLLOCK_LIVER_LABEL_MACROS,v5.3.118 explicit species proxy,
red_beans_tomato_sauce,Фасоль красная в томатном соусе,canned_in_sauce,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,RECIPE_MODEL:RED_BEANS_TOMATO_SAUCE_RETAIL,RETAIL_LABEL_MACROS_PLUS_78PCT_BEANS_22PCT_TOMATO_MODEL,v5.3.118 analytical recipe proxy,
rye_croutons_cheese,Сухарики ржаные со вкусом сыра,ready_snack,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,4,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:RYE_CROUTONS_CHEESE,REPRESENTATIVE_RUSSIAN_SALTY_SNACK_LABELS,v5.3.121 generic canonical profile,
rye_croutons_garlic,Сухарики ржаные со вкусом чеснока,ready_snack,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,4,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:RYE_CROUTONS_GARLIC,REPRESENTATIVE_RUSSIAN_SALTY_SNACK_LABELS,v5.3.121 generic canonical profile,
soy_drink_sweetened,Напиток соевый сладкий,liquid_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,1,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:FORTIFIED_SOY_DRINK_SWEETENED,REPRESENTATIVE_SWEETENED_SOY_DRINK_LABELS,v5.3.121 generic canonical profile,
soy_drink_unsweetened_fortified,"Напиток соевый без сахара, обогащённый",liquid_retail,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:FORTIFIED_SOY_DRINK_UNSWEETENED,REPRESENTATIVE_FORTIFIED_SOY_DRINK_LABELS,v5.3.121 generic canonical profile,
sprat_canned_tomato_sauce,Килька в томатном соусе,canned_in_sauce,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,0,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_PROXY:DOBROFLOT_SPRAT_TOMATO,RUSSIAN_LABEL_MACROS_PLUS_75PCT_SPRAT_25PCT_SAUCE_MICRO_MODEL,label macro profile 2026; proxy micros,
tomato_red_pickled_drained,"Томаты маринованные красные, без рассола",pickled_drained,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_PROXY:TOMATO_RED_PICKLED_DRAINED_RU,REPRESENTATIVE_RUSSIAN_RETAIL_LABEL_PLUS_TOMATO_PROFILE,v5.3.118 generic retail proxy,
wheat_croutons_spiced,Сухарики пшеничные со специями,ready_snack,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,4,LABEL_WITHOUT_STABLE_REFERENCE,RETAIL_LABEL_MODEL:WHEAT_CROUTONS_SPICED,REPRESENTATIVE_RUSSIAN_SALTY_SNACK_LABELS,v5.3.121 generic canonical profile,
white_beans_tomato_sauce,Фасоль белая в томатном соусе,canned_in_sauce,MIXED_SOURCE,MEDIUM,0.64,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,RECIPE_MODEL:WHITE_BEANS_TOMATO_SAUCE_RETAIL,RETAIL_LABEL_MACROS_PLUS_78PCT_BEANS_22PCT_TOMATO_MODEL,v5.3.118 analytical recipe proxy,
candied_fruit_mixed,Цукаты фруктовые,candied,OFFICIAL_LABEL,MEDIUM,0.75,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,CANONICAL:CANDIED_FRUIT_MIXED,REPRESENTATIVE_CANDIED_FRUIT_LABEL_MODEL,v5.3.123 canonical profile,
cherry_dried_sweetened,Вишня сушёная подслащённая,dried_sweetened,OFFICIAL_LABEL,MEDIUM,0.75,CONDITIONALLY_ACCEPTED,3,LABEL_WITHOUT_STABLE_REFERENCE,CANONICAL:CHERRY_DRIED_SWEETENED,REPRESENTATIVE_SWEETENED_DRIED_CHERRY_LABEL_MODEL,v5.3.123 canonical profile,
cranberry_dried_sweetened,Клюква сушёная подслащённая,dried_sweetened,OFFICIAL_LABEL,MEDIUM,0.75,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,CANONICAL:CRANBERRY_DRIED_SWEETENED,REPRESENTATIVE_SWEETENED_DRIED_CRANBERRY_LABEL_MODEL,v5.3.123 canonical profile,
fruit_jam_reduced_sugar,Джем фруктовый с пониженным сахаром,fruit_spread,OFFICIAL_LABEL,MEDIUM,0.75,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,CANONICAL:FRUIT_JAM_REDUCED_SUGAR,REPRESENTATIVE_REDUCED_SUGAR_JAM_LABEL_MODEL,v5.3.123 canonical profile,
fruit_marmalade_spread,Мармеладная фруктовая намазка,confectionery_spread,OFFICIAL_LABEL,MEDIUM,0.75,CONDITIONALLY_ACCEPTED,3,LABEL_WITHOUT_STABLE_REFERENCE,CANONICAL:FRUIT_MARMALADE_SPREAD,REPRESENTATIVE_FRUIT_SPREAD_LABEL_MODEL,v5.3.123 canonical profile,
mango_dried_sweetened,Манго сушёное с сахаром,dried_sweetened,OFFICIAL_LABEL,MEDIUM,0.75,CONDITIONALLY_ACCEPTED,2,LABEL_WITHOUT_STABLE_REFERENCE,CANONICAL:MANGO_DRIED_SWEETENED,REPRESENTATIVE_SWEETENED_DRIED_MANGO_LABEL_MODEL,v5.3.123 canonical profile,
